ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Correlation_Correlation_DAPI_SMNDC1,Correlation_Correlation_DAPI_SRRM2,Correlation_Correlation_SMNDC1_SRRM2,Correlation_Costes_DAPI_SMNDC1,Correlation_Costes_DAPI_SRRM2,Correlation_Costes_SMNDC1_DAPI,Correlation_Costes_SMNDC1_SRRM2,Correlation_Costes_SRRM2_DAPI,Correlation_Costes_SRRM2_SMNDC1,Correlation_K_DAPI_SMNDC1,Correlation_K_DAPI_SRRM2,Correlation_K_SMNDC1_DAPI,Correlation_K_SMNDC1_SRRM2,Correlation_K_SRRM2_DAPI,Correlation_K_SRRM2_SMNDC1,Correlation_Manders_DAPI_SMNDC1,Correlation_Manders_DAPI_SRRM2,Correlation_Manders_SMNDC1_DAPI,Correlation_Manders_SMNDC1_SRRM2,Correlation_Manders_SRRM2_DAPI,Correlation_Manders_SRRM2_SMNDC1,Correlation_Overlap_DAPI_SMNDC1,Correlation_Overlap_DAPI_SRRM2,Correlation_Overlap_SMNDC1_SRRM2,Correlation_RWC_DAPI_SMNDC1,Correlation_RWC_DAPI_SRRM2,Correlation_RWC_SMNDC1_DAPI,Correlation_RWC_SMNDC1_SRRM2,Correlation_RWC_SRRM2_DAPI,Correlation_RWC_SRRM2_SMNDC1,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,31569,42840,528,345,324,135,424.3184769869176,231.40593620323736,1.2469387402630583,0.4304973096632883,200.4866558844861,1,0.736904761904762,0.8019640161224254,213.5729963950673,216.01157376399996,88.60022573334675,31.46431988364795,28.0178514522438,199.9044771884812,192.7692481370549,0.7529197876693774,703.3279938488575,0.9841631075225239,0.37315737049220493,0.22274527134768587,0.41821067588209826,0.9989554990437184,0.999887893957639,0.9950776704233325,0.9994047434027387,0.9981990050711769,0.997894764608811,0.4682692255523988,0.27432578087602,1.4436427760870767,0.5695907275074583,2.0402000109430407,1.3740575008407154,1.0,1.0,1.0,1.0,1.0,1.0,0.8222003920776313,0.7481172776678896,0.8846753141921296,0.5470934553107857,0.4645605795048927,0.6900389818585668,0.8653505513262791,0.6917674710476828,0.8711085912147984,424.3184769869176,231.40593620323736,0,1
1,2,35340,49920,648,932,453,676,548.028466327108,796.9173457838144,1.5654645522327606,0.6923417929080523,212.12327904061038,1,0.7079326923076923,0.6387880189134525,257.14143085014217,287.89234098878006,87.66413177577246,30.362439296866512,26.40075756488817,192.29148602556555,185.5454668684872,0.2735004081859803,833.796031280393,0.9092312442111763,0.5594301745473216,0.2399257856987726,0.4424148227013967,0.9924549638568954,0.9990551240516671,0.9910870856889564,0.9966026701931747,0.9953986157484872,0.9837861420802253,0.4014106023954293,0.2738717566005973,1.7992278821053287,0.6871325883191236,1.9342744237802691,1.0827147536195894,1.0,1.0,1.0,1.0,1.0,1.0,0.8498406603608422,0.7278345513839738,0.8625361389912487,0.49390311824853395,0.4339380630402546,0.6605002649981296,0.8926853349741759,0.6524243040897159,0.8780054958118487,548.028466327108,796.9173457838144,0,2
2,1,49391,64764,913,959,656,707,778.7242615051325,827.3281367050678,1.2194235135162033,0.18258855360526813,250.77195687320068,0,0.7626304737199678,0.8200596338482138,253.7376130514905,260.31711430484165,118.06777714516353,40.6474367772925,35.84689665786984,246.55104537910213,249.47213460720948,0.8046255713970188,869.9737008100567,0.9885515281308168,0.4027338975911681,0.13194334290191945,0.37315566589085103,0.9935173750296465,0.998130766788922,0.9746672634167516,0.9940554670370862,0.9816373522282564,0.9838012898906918,0.41727699181836286,0.27722296204314156,1.5061501817305094,0.6730808783308648,1.3926849440125464,0.936800457512288,1.0,1.0,1.0,1.0,1.0,1.0,0.7927684510998073,0.6213567778434905,0.7940670467681723,0.5046886204292023,0.4324678227690553,0.6764672283984727,0.8550551617058236,0.6496505262653988,0.8198730421167132,778.7242615051325,827.3281367050678,0,1
3,1,32937,43610,873,415,628,237,742.6309014178584,320.95026869478096,1.296198379149936,0.796213684833058,204.7844986441651,1,0.7552625544599862,0.7714868465240738,265.02798401969693,267.72560579817537,81.98780397107853,30.389561644958555,27.459060435491963,166.20031027775366,160.3460410789048,-1.1351313299245855,732.4579361637687,0.9868764044943821,0.44104220983373055,0.2536218962399605,0.40054685377025095,0.9838596868545346,0.9961890401989251,0.974148918908309,0.9841498873634631,0.987102198979214,0.9737382722152403,0.5361077401807166,0.3542422794255969,1.214607528886031,0.6222205141681505,1.2416867340452873,0.962658126882557,1.0,1.0,1.0,1.0,1.0,1.0,0.8069451638851146,0.6632178669191049,0.7739416222668305,0.5676095442334936,0.5067523169291772,0.712454988150697,0.8289990113346523,0.679467733907852,0.7822520990928377,742.6309014178584,320.95026869478096,0,1
3,2,24549,33389,505,652,312,479,403.5275571306367,558.7438184854781,1.4715462980918017,0.6935115020051263,176.79580759651375,0,0.7352421456168199,0.6795572801866513,211.2437857709638,223.80571931923456,71.8679344353238,26.21648866288209,23.08679276123039,146.64777059001622,152.18964631400732,-1.143521639673408,673.7655480083436,0.9709686350512202,0.2995806087666849,0.03656740892736969,0.16973659686784048,0.9693898988631472,0.9917777850364266,0.9223099874800745,0.9902512036237472,0.9298936271202338,0.960466701601704,0.9598091441110544,0.6264972162087971,0.5402156116059212,0.6625230386014103,0.4294252496817842,0.8068395320021379,1.0,1.0,1.0,1.0,1.0,1.0,0.7200721379215482,0.518684608886176,0.7311291119944522,0.7493199137123563,0.6974295131594125,0.7869069008244496,0.7951279592364512,0.6412202577126804,0.710912880788369,403.5275571306367,558.7438184854781,0,2
3,3,19315,29068,517,769,345,600,439.5637587367331,683.2626456122185,1.4121106489952733,0.5227432065585956,156.82034882807673,1,0.66447640016513,0.7081598037034188,176.0355493680017,188.43831882077487,65.0,22.879638326685367,20.396078054371138,147.55332350234346,150.06858057434735,-0.881829215147574,585.445742854949,0.9683160374993733,0.4973234006178654,0.08672903519645901,0.18256525218715605,0.9916384226209094,0.998906159310689,0.9775740617681016,0.996573807540665,0.9699987230546029,0.9704106134707937,0.5577278929479593,0.3276082147607375,1.2942610248433237,0.5938123720276243,1.1594477430249517,0.9056202605122282,1.0,1.0,1.0,1.0,1.0,1.0,0.8496148976510083,0.6163153455827387,0.7333270178106363,0.5610113013689524,0.4440594408952633,0.6796895319233189,0.7783341529497871,0.6313302123622907,0.7232657922376137,439.5637587367331,683.2626456122185,0,3
4,1,25536,34100,295,632,75,477,186.10898339598998,553.0187969924812,1.3997998293748448,0.7474042950874794,180.31484967788182,1,0.7488563049853373,0.714387856759922,224.19616683432255,221.32555207205516,69.05070600652827,26.48475597167562,24.020824298928627,147.51882949017602,148.94909309423963,1.4134804782502455,670.2152954766495,0.9496467088136854,0.18931319914297343,-0.012621254005025185,0.6989485100198466,0.9478850099497482,0.9998432803884982,0.8309208888983063,0.9896610156125246,0.9931695985230122,0.9624868349193187,0.9675343869283596,0.588499236113398,0.4217608633607867,0.7483706921594847,0.32828401918261074,0.9576807130822254,1.0,1.0,1.0,1.0,1.0,1.0,0.6388021120520457,0.4395394117905726,0.8465814657297512,0.7033260545505864,0.6180301457524585,0.6789798254441103,0.8034530635621342,0.5510576272289518,0.780068031094732,186.10898339598998,553.0187969924812,0,1
4,2,26839,38430,317,491,107,308,214.96609411677036,413.0085323596259,1.4249412624212912,0.6586517627920909,184.85798911907224,1,0.6983866770752016,0.7017833130193579,217.79048585551607,216.08563117431015,70.25667228100119,26.80795744857455,24.0,164.35287715084482,163.875995625983,-1.3384597733808055,693.2447327281723,0.9413889863205893,0.08756567162460738,-0.08471898152166892,0.5455834837856335,0.9793764646202655,0.9999853046446476,0.8591623928316608,0.9899357076403376,0.9979282696060386,0.9800123774823616,0.7706447371189309,0.4415799744768911,0.6081928242646278,0.6645873979026924,0.5394279617078559,1.0287008804230038,1.0,1.0,1.0,1.0,1.0,1.0,0.6846171186678246,0.4880579735677683,0.8268383405119363,0.675669287029115,0.5754511521105014,0.6873574411903373,0.7950921016497884,0.6069299834561591,0.7838597162631081,214.96609411677036,413.0085323596259,0,2
5,1,11919,16240,749,477,633,337,688.0022652907123,400.62169645104456,1.268087266471869,0.6014918087097734,123.18986213848282,1,0.7339285714285714,0.7885892607235512,138.56951827338776,147.7193284577208,55.47071299343465,19.495836643368026,17.204650534085253,112.78377443267671,110.70027362807853,-0.5261689277935957,435.8122292025696,0.9727413694605402,0.2526330153379762,0.2416211439945346,0.31160982728859565,0.9856728270615982,0.9997653366982657,0.9991831580449905,0.9921086992690462,0.9998292544105234,0.9865057453449507,0.3244343079999079,0.18790817591947873,2.77437391270378,0.5596669471045419,2.735162793176717,0.9526402864318879,1.0,1.0,1.0,1.0,1.0,1.0,0.9487370976730317,0.7169096535189518,0.7301789375188324,0.32867052192452023,0.28764492251782536,0.38866301767872125,0.8529890080430659,0.4253750154401317,0.7940085042212588,688.0022652907123,400.62169645104456,0,1
5,2,14896,22192,801,559,655,407,731.6685687432868,490.1368823845328,1.3666554607830599,0.789232297529896,137.7177412622462,1,0.6712328767123288,0.7317133167031175,178.50874927779708,178.54971296532514,54.08326913195984,19.975699026488087,18.027756377319946,112.20336615147757,109.62128845785422,-0.7825465003851717,505.7888886054566,0.9524296675191816,0.27434755384697634,0.3447438364267445,0.30991142835116575,0.9969122994242259,0.999653573825314,0.9992595577551986,0.9962093435654253,0.9999073310804442,0.9966879738989601,0.3798123054212711,0.2904658938263286,2.367776870448164,0.7182263655789743,1.931237005120347,0.7660022233996004,1.0,1.0,1.0,1.0,1.0,1.0,0.9483199839126452,0.7489716168739396,0.7417297303854744,0.37608854291569704,0.37597535034797375,0.4393393797966045,0.8072937499186469,0.5595855604161727,0.7192272131806197,731.6685687432868,490.1368823845328,0,2
